alpha,fp_zero,fp_upper,fp_lower
0.656642,0.000000,0.559717,-0.559717
0.659148,0.000000,0.564177,-0.564177
0.661654,0.000000,0.568602,-0.568602
0.664160,0.000000,0.572993,-0.572993
0.666667,0.000000,0.577350,-0.577350
0.669173,0.000000,0.581675,-0.581675
0.671679,0.000000,0.585968,-0.585968
0.674185,0.000000,0.590230,-0.590230
0.676692,0.000000,0.594461,-0.594461
0.679198,0.000000,0.598662,-0.598662
0.681704,0.000000,0.602834,-0.602834
0.684211,0.000000,0.606977,-0.606977
0.686717,0.000000,0.611092,-0.611092
0.689223,0.000000,0.615180,-0.615180
0.691729,0.000000,0.619240,-0.619240
0.694236,0.000000,0.623275,-0.623275
0.696742,0.000000,0.627283,-0.627283
0.699248,0.000000,0.631266,-0.631266
0.701754,0.000000,0.635223,-0.635223
0.704261,0.000000,0.639157,-0.639157
0.706767,0.000000,0.643066,-0.643066
0.709273,0.000000,0.646952,-0.646952
0.711779,0.000000,0.650814,-0.650814
0.714286,0.000000,0.654654,-0.654654
0.716792,0.000000,0.658471,-0.658471
0.719298,0.000000,0.662266,-0.662266
0.721805,0.000000,0.666040,-0.666040
0.724311,0.000000,0.669792,-0.669792
0.726817,0.000000,0.673524,-0.673524
0.729323,0.000000,0.677235,-0.677235
0.731830,0.000000,0.680925,-0.680925
0.734336,0.000000,0.684596,-0.684596
0.736842,0.000000,0.688247,-0.688247
0.739348,0.000000,0.691879,-0.691879
0.741855,0.000000,0.695492,-0.695492
0.744361,0.000000,0.699086,-0.699086
0.746867,0.000000,0.702662,-0.702662
0.749373,0.000000,0.706220,-0.706220
0.751880,0.000000,0.709760,-0.709760
0.754386,0.000000,0.713283,-0.713283
0.756892,0.000000,0.716788,-0.716788
0.759398,0.000000,0.720276,-0.720276
0.761905,0.000000,0.723747,-0.723747
0.764411,0.000000,0.727202,-0.727202
0.766917,0.000000,0.730640,-0.730640
0.769424,0.000000,0.734062,-0.734062
0.771930,0.000000,0.737468,-0.737468
0.774436,0.000000,0.740859,-0.740859
0.776942,0.000000,0.744234,-0.744234
0.779449,0.000000,0.747594,-0.747594
0.781955,0.000000,0.750939,-0.750939
0.784461,0.000000,0.754269,-0.754269
0.786967,0.000000,0.757585,-0.757585
0.789474,0.000000,0.760886,-0.760886
0.791980,0.000000,0.764173,-0.764173
0.794486,0.000000,0.767445,-0.767445
0.796992,0.000000,0.770704,-0.770704
0.799499,0.000000,0.773949,-0.773949
0.802005,0.000000,0.777181,-0.777181
0.804511,0.000000,0.780399,-0.780399
0.807018,0.000000,0.783604,-0.783604
0.809524,0.000000,0.786796,-0.786796
0.812030,0.000000,0.789975,-0.789975
